,项目类别,项目名称
33119,西药费,丹参川芎嗪注射液 15ml
33123,西药费,马来酸依那普利分散片 10mg   口服 q.d.
33149,西药费,甘露醇注射液   125ml i.v.drip
33163,西药费,碳酸氢钠注射液 50ml i.v
33164,西药费,胰酶肠溶胶囊
33168,西药费,硝苯地平控释片 30mg 口服 q.d.
33173,西药费,酒石酸美托洛尔片 12.5mg  口服 b.i.d
33235,西药费,地奥心血康软胶囊 0.35g 口服
33258,西药费,盐酸胺碘酮片   0.2 口服
33306,西药费,浓氯化钠注射液 20ml
33452,西药费,马来酸依那普利分散片 5mg 口服
33573,西药费,腰疼宁胶囊
33589,化验费,尿蛋白定性
33616,化验费,红细胞计数(RBC)
33624,西药费,竹林胺片
33633,化验费,红细胞比积测定(HCT)
33634,化验费,血红蛋白测定(Hb)
33644,化验费,尿酸碱度测定
33653,化验费,白细胞计数(WBC)
33655,化验费,白细胞分类计数(DC)
33656,化验费,红细胞参数平均值测定
33658,化验费,血清总胆汁酸测定
33667,化验费,尿糖定量测定
33672,西药费,芬必得胶囊
33675,西药费,前列康普乐安片
33815,西药费,注射用复方甘草酸苷注射液&lt;40mg&gt;
33817,西药费,注射用头孢哌酮钠舒巴坦钠&lt;1.5g&gt;
33836,西药费,依达拉奉注射液&lt;20ml:30mg&gt;
33861,西药费,核黄素磷酸钠注射液&lt;2ml:10mg&gt;
34038,西药费,注射用低分子量肝素钠 5000IU 皮下注射
34115,化验费,尿淀粉酶
34168,化验费,尿常规Ⅱ项（仪器法）
34169,西药费,维生素k3&lt;1ml：4mg*10支&gt;
34218,西药费,复方异丙托溴铵溶液
34276,西药费,硝苯地平缓释片 20mg 口服
34715,西药费,盐酸纳洛酮注射液
34969,检查费,甲状腺功能检测
34987,西药费,果胶铋&lt;50mg*24s&gt;
35023,其他费,盆腔CT
35024,其他费,右下腹部B超
35131,西药费,盐酸左氧氟沙星滴眼液&lt;8ml:24mg&gt;
35409,化验费,血常规
35507,西药费,川芎嗪
35508,西药费,舒血宁注射液
35509,化验费,血脂三项
35510,化验费,血糖测定
35547,其他费,瓶口帖
35551,其他费,取暖费
35700,其他费,胸片  腹片
35744,西药费,盐酸克林霉素注射液 8ml
35745,其他费,头孢唑啉皮试 (+)
35779,西药费,阿托伐他汀钙胶囊&lt;10mg*10s&gt;
35833,西药费,重组人粒细胞刺激因子注射液
35959,西药费,维生素K3注射液&lt;4mg/1ml*10&gt;
36448,西药费,黄体酮注射液
36462,西药费,注射用兰索拉唑
36492,西药费,呋塞米注射液
36508,西药费,阿托品注射液
